"","initial","malet1","femalet1","malet2","femalet2"
"0-1",0,90.7899064002024,93.7914922248804,93.3721682847896,96.1198501872659
"1-5",1,90.8370225145459,93.8153409090909,93.3947757743874,96.140556447298
"5-10",5,90.8497343789527,93.8222188995215,93.3995376791493,96.1459604066346
"10-15",10,90.8568176068809,93.8255831339713,93.4032362459547,96.1490101658641
"15-20",15,90.864533265874,93.829283791866,93.4071659731854,96.1523274478331
"20-25",20,90.8929926637996,93.8363486842105,93.4190476190476,96.1583199571964
"25-30",25,90.9279028585884,93.8447218899522,93.4343504392048,96.1656500802568
"30-35",30,90.9679357450038,93.8544034090909,93.4556634304207,96.1765650080257
"35-40",35,91.024475082216,93.8673370215311,93.486916319926,96.1914392723382
"40-45",40,91.1035922084493,93.8850553229665,93.535876098012,96.2110754414125
"45-50",45,91.2171768277258,93.9117822966507,93.6116504854369,96.2427501337614
"50-55",50,91.3719327093347,93.9507326555024,93.7160887656033,96.2895666131621
"55-60",55,91.5832911712623,94.0090460526316,93.8534905224226,96.3560192616372
"60-65",60,91.8774348596003,94.1027586722488,94.039297272307,96.4560727661851
"65-70",65,92.2889577536049,94.2443181818182,94.2865926953306,96.6071696094168
"70-75",70,92.8364533265874,94.4720020933015,94.6307443365696,96.8384697699304
"75-80",75,93.545408550468,94.8256578947368,95.2285540458325,97.2309791332263
"80-85",80,94.4459271439413,95.8376693766938,96.6175218008518,97.8532370251471
"85-90",85,96.4415351506456,97.5257452574526,98.2448793348205,98.7688068485821
"90-95",90,98.9779411764706,99.293315266486,99.8160616507808,99.8729802033173
"95-100",95,102.172244094488,102.465808170515,103.356077554064,103.135085574572
"100-105",100,104.916338582677,104.923623445826,105,105
"105-110",105,105,105,105,105
